,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__l2_regularization,param_classifier__learning_rate,param_classifier__max_bins,param_classifier__max_leaf_nodes,param_classifier__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
373,0.6315323352813721,0.025791326943864577,0.03874139785766602,0.003013822728415906,0.525028967923059,0.036729032529501035,76,50,57,"{'classifier__l2_regularization': 0.525028967923059, 'classifier__learning_rate': 0.036729032529501035, 'classifier__max_bins': 76, 'classifier__max_leaf_nodes': 50, 'classifier__min_samples_leaf': 57}",0.8541012692780128,0.8628173628173628,0.8600873600873601,0.8562653562653563,0.858995358995359,0.8584533414886902,0.003024443544849924,37
374,0.22729840278625488,0.003603912713943697,0.028992605209350587,0.0024860855281760865,0.07214358963692448,0.008205361974126728,10,5,1,"{'classifier__l2_regularization': 0.07214358963692448, 'classifier__learning_rate': 0.008205361974126728, 'classifier__max_bins': 10, 'classifier__max_leaf_nodes': 5, 'classifier__min_samples_leaf': 1}",0.7589736590691961,0.758940758940759,0.758940758940759,0.758940758940759,0.758940758940759,0.7589473389664464,1.316005137486087e-05,327
375,0.19580445289611817,0.020185813801652828,0.0226132869720459,0.0019811254300650615,1.459501102110682e-06,1.0226208805176713,4,81,7,"{'classifier__l2_regularization': 1.459501102110682e-06, 'classifier__learning_rate': 1.0226208805176713, 'classifier__max_bins': 4, 'classifier__max_leaf_nodes': 81, 'classifier__min_samples_leaf': 7}",0.8019653336972841,0.8022113022113022,0.7987987987987988,0.7974337974337974,0.7945672945672946,0.7989953053416954,0.002872208400668743,264
376,0.6976065158843994,0.021971248091918073,0.035196685791015626,0.001037649311592562,0.10466885338145825,0.02722846488523993,2,45,18,"{'classifier__l2_regularization': 0.10466885338145825, 'classifier__learning_rate': 0.02722846488523993, 'classifier__max_bins': 2, 'classifier__max_leaf_nodes': 45, 'classifier__min_samples_leaf': 18}",0.8051044083526682,0.8026208026208026,0.8024843024843025,0.7968877968877969,0.8041223041223041,0.8022439228935749,0.002849512223814159,247
377,0.08446784019470215,0.004004262729079644,0.02201223373413086,0.001562986668311356,0.3105493300034101,4.465472993253723,160,4,33,"{'classifier__l2_regularization': 0.3105493300034101, 'classifier__learning_rate': 4.465472993253723, 'classifier__max_bins': 160, 'classifier__max_leaf_nodes': 4, 'classifier__min_samples_leaf': 33}",0.711205131704654,0.7158067158067158,0.7211302211302212,0.708981708981709,0.6883701883701884,0.7090987931986976,0.011170290171151748,433
378,0.11092696189880372,0.008065174016250343,0.0212552547454834,0.0014061572062952607,0.0003471273318435227,2.0619159676615264,16,18,3,"{'classifier__l2_regularization': 0.0003471273318435227, 'classifier__learning_rate': 2.0619159676615264, 'classifier__max_bins': 16, 'classifier__max_leaf_nodes': 18, 'classifier__min_samples_leaf': 3}",0.7506482871570902,0.5981435981435982,0.6212121212121212,0.7178542178542179,0.4286104286104286,0.6232937305954912,0.11287100527539314,471
379,2.25851993560791,0.062300757986881415,0.03890295028686523,0.0018348043972034069,143.21846190101851,0.030575952835458324,27,248,1,"{'classifier__l2_regularization': 143.21846190101851, 'classifier__learning_rate': 0.030575952835458324, 'classifier__max_bins': 27, 'classifier__max_leaf_nodes': 248, 'classifier__min_samples_leaf': 1}",0.8495973795550703,0.8569478569478569,0.8524433524433525,0.8467103467103467,0.8524433524433525,0.8516284576199957,0.003404033177891981,95
380,0.18436155319213868,0.008412340502772548,0.02914433479309082,0.0025744187227874815,0.005330064057256951,0.04007834323354187,17,3,5,"{'classifier__l2_regularization': 0.005330064057256951, 'classifier__learning_rate': 0.04007834323354187, 'classifier__max_bins': 17, 'classifier__max_leaf_nodes': 3, 'classifier__min_samples_leaf': 5}",0.8164323734134025,0.8139503139503139,0.8138138138138138,0.8142233142233142,0.8184548184548185,0.8153749267711327,0.0018108966287189224,202
381,0.39779095649719237,0.07990919676474764,0.027347421646118163,0.0015217241601119104,69.55602870679786,0.2452566357017598,2,31,1,"{'classifier__l2_regularization': 69.55602870679786, 'classifier__learning_rate': 0.2452566357017598, 'classifier__max_bins': 2, 'classifier__max_leaf_nodes': 31, 'classifier__min_samples_leaf': 1}",0.8064692234202265,0.8028938028938029,0.8007098007098007,0.7974337974337974,0.801938301938302,0.8018889852791858,0.002940402931114304,251
382,0.1068871021270752,0.011434974025427041,0.02220120429992676,0.0023705833533132783,1.6145285846319075,9.674189514959314,6,27,15,"{'classifier__l2_regularization': 1.6145285846319075, 'classifier__learning_rate': 9.674189514959314, 'classifier__max_bins': 6, 'classifier__max_leaf_nodes': 27, 'classifier__min_samples_leaf': 15}",0.7372730994950184,0.7140322140322141,0.7484302484302484,0.7233142233142233,0.7448812448812449,0.7335862060305899,0.013033717142984111,419
383,0.08683171272277831,0.0020785139338510275,0.02099270820617676,0.0016739984281496632,0.0019169338802105687,4.311566852271837,5,2,6,"{'classifier__l2_regularization': 0.0019169338802105687, 'classifier__learning_rate': 4.311566852271837, 'classifier__max_bins': 5, 'classifier__max_leaf_nodes': 2, 'classifier__min_samples_leaf': 6}",0.2845639415859151,0.2798252798252798,0.27559377559377557,0.28883428883428885,0.28856128856128854,0.2834757148801096,0.005122738620217165,496
384,0.13256387710571288,0.011046805641026005,0.02283902168273926,0.0024630553576432644,2.4041303114722754e-06,0.6336825711692655,178,25,2,"{'classifier__l2_regularization': 2.4041303114722754e-06, 'classifier__learning_rate': 0.6336825711692655, 'classifier__max_bins': 178, 'classifier__max_leaf_nodes': 25, 'classifier__min_samples_leaf': 2}",0.8609253446158046,0.8696423696423696,0.868959868959869,0.8658203658203658,0.8648648648648649,0.8660425627806546,0.00313341827407771,12
385,0.22632784843444825,0.00928480137112292,0.026685094833374022,0.0011421926072783858,307.62194058172815,0.00137549283916161,3,3,1,"{'classifier__l2_regularization': 307.62194058172815, 'classifier__learning_rate': 0.00137549283916161, 'classifier__max_bins': 3, 'classifier__max_leaf_nodes': 3, 'classifier__min_samples_leaf': 1}",0.7589736590691961,0.758940758940759,0.758940758940759,0.758940758940759,0.758940758940759,0.7589473389664464,1.316005137486087e-05,327
